compound_id,name_cn,target,affinity_kcal_mol,note
NV-006,去氢松香酸,FXR_LBD,-8.314,cached
NV-006,去氢松香酸,KEAP1_KELCH,-8.067,cached
NV-007,五味子甲素,FXR_LBD,-8.33,cached
NV-007,五味子甲素,KEAP1_KELCH,-7.772,cached
NV-008,戈米辛A,FXR_LBD,-5.481,cached
NV-008,戈米辛A,KEAP1_KELCH,-6.41,cached
NV-009,松脂素,FXR_LBD,-8.655,cached
NV-009,松脂素,KEAP1_KELCH,-7.915,cached
NV-010,落叶松脂素,FXR_LBD,-5.821,cached
NV-010,落叶松脂素,KEAP1_KELCH,-6.397,cached
NV-011,奥贝胆酸,FXR_LBD,-7.461,cached
NV-011,奥贝胆酸,KEAP1_KELCH,-7.36,cached
NV-012,灵芝酸A,FXR_LBD,-6.023,cached
NV-012,灵芝酸A,KEAP1_KELCH,-9.532,cached
