compound_id,name_cn,target,prepared_structure_matches_input,heavy_atoms,nearest_receptor_heavy_A,pairs_under_1_5A,atoms_outside_box
HP-042,穿心莲内酯,FXR_LBD,True,19,3.1579924002441793,0,0
HP-042,穿心莲内酯,KEAP1_KELCH,True,19,2.750804064269207,0,0
HP-044,苦参碱,FXR_LBD,True,14,2.8133012636402834,0,0
HP-044,苦参碱,KEAP1_KELCH,True,14,3.4282504284255557,0,0
HP-045,伞形花内酯,FXR_LBD,True,12,2.904527156010079,0,0
HP-045,伞形花内酯,KEAP1_KELCH,True,12,3.065421341349342,0,0
HP-046,滨蒿内酯,FXR_LBD,True,15,2.814455009411236,0,0
HP-046,滨蒿内酯,KEAP1_KELCH,True,15,3.517815941745673,0,0
HP-047,东莨菪素,FXR_LBD,True,14,2.8059647182386307,0,0
HP-047,东莨菪素,KEAP1_KELCH,True,14,3.047276817094238,0,0
HP-048,丹参酮IIA,FXR_LBD,True,17,2.8555228943225113,0,0
HP-048,丹参酮IIA,KEAP1_KELCH,True,17,3.1461795880082866,0,0
NV-001,科罗索酸,FXR_LBD,True,36,2.8045436348896406,0,0
NV-001,科罗索酸,KEAP1_KELCH,True,36,3.051941185540769,0,1
NV-002,马斯里酸,FXR_LBD,True,34,3.1793741522507193,0,1
NV-002,马斯里酸,KEAP1_KELCH,True,34,2.734626117040501,0,0
NV-003,积雪草酸,FXR_LBD,True,34,2.671993076338337,0,0
NV-003,积雪草酸,KEAP1_KELCH,True,34,2.972434187665053,0,0
NV-004,羟基积雪草酸,FXR_LBD,True,35,2.8662948208444994,0,1
NV-004,羟基积雪草酸,KEAP1_KELCH,True,35,2.804875220040991,0,0
NV-005,β-乳香酸,FXR_LBD,True,28,2.9849319925251248,0,0
NV-005,β-乳香酸,KEAP1_KELCH,True,28,2.9440049252676213,0,0
NV-006,去氢松香酸,FXR_LBD,True,24,2.6774769840280612,0,0
NV-006,去氢松香酸,KEAP1_KELCH,True,24,2.522991478384341,0,0
NV-007,五味子甲素,FXR_LBD,True,27,2.976035114040155,0,0
NV-007,五味子甲素,KEAP1_KELCH,True,27,2.9692886353468575,0,0
NV-008,戈米辛A,FXR_LBD,True,32,2.73194619273513,0,0
NV-008,戈米辛A,KEAP1_KELCH,True,32,2.903491174431223,0,0
NV-009,松脂素,FXR_LBD,True,26,2.931044523715052,0,0
NV-009,松脂素,KEAP1_KELCH,True,26,2.9840365279265577,0,0
NV-010,落叶松脂素,FXR_LBD,True,25,2.977689876397474,0,0
NV-010,落叶松脂素,KEAP1_KELCH,True,25,3.0421867135335416,0,0
NV-011,奥贝胆酸,FXR_LBD,True,30,2.697247856612366,0,0
NV-011,奥贝胆酸,KEAP1_KELCH,True,30,2.9818013012271645,0,0
NV-012,灵芝酸A,FXR_LBD,True,32,2.7144881653821993,0,1
NV-012,灵芝酸A,KEAP1_KELCH,True,32,2.818064938925291,0,0
