parameter,index,analytic,numeric,ratio,abs_error
W1,"(10, 5)",0.49870728032988104,0.49870728030532163,1.0000000000492462,2.455941006118678e-11
b1,"(5,)",0.6621786497339289,0.6621786496907589,1.0000000000651939,4.317002311182705e-11
W2,"(25, 5)",-1.0169177388166226,-0.7118424171226323,1.428571428669772,0.3050753216939903
b2,"(5,)",0.7886278305562026,0.7886278305391237,1.0000000000216565,1.707889385471617e-11
W3,"(13, 0)",1.2758584553250412,1.2758584552741148,1.0000000000399154,5.092637422876578e-11
b3,"(0,)",1.0,0.9999999999732445,1.0000000000267555,2.6755486715046572e-11
